"filename", "language", "JSON with Comments", "JSON", "JavaScript", "XML", "Markdown", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\.prettierrc", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\README.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 0, 0, 14, 37
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\app\_components\aboutme.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 101, 0, 0, 2, 103
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\app\_components\contact.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 48, 0, 0, 2, 50
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\app\_components\hero.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 63, 0, 1, 2, 66
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\app\_components\navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 0, 3, 56
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\app\_components\projects.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 99, 0, 0, 2, 101
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\app\_components\skills-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 138, 0, 1, 5, 144
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\app\_components\typo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 2, 2, 22
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 59, 0, 22, 81
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 4, 28
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 2, 32
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\components.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 17
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\components\footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 78, 0, 0, 4, 82
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\components\framer\FloatingObject.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 1, 2, 34
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\components\framer\JumpingText.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 1, 3, 42
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\components\framer\MotionDiv.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 5
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\components\framer\Reveal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 0, 5, 60
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 6, 37
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 52, 0, 0, 6, 58
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\components\ui\section-title.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 0, 4, 62
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 5, 25
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\lib\utils.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\next.config.mjs", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 1, 2, 5
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\package.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\postcss.config.mjs", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 1, 2, 9
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\public\icons\Bun.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\public\icons\CSS3.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\public\icons\Flask.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\public\icons\HTML5.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\public\icons\Next.js.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\public\icons\Node.js.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\public\icons\Python.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\public\icons\React.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\public\icons\Tailwind CSS.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\public\icons\TypeScript.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\public\icons\Unity.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\public\icons\illustrator.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\public\icons\nextjs-icon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\public\icons\photoshop.svg", "XML", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\public\images\contact.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\public\images\hero.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\public\next.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\public\vercel.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\tailwind.config.ts", "TypeScript", 0, 0, 0, 0, 0, 78, 0, 0, 0, 3, 81
"s:\ProjectFiles\React\PortfolioV2\portfolio-v2\tsconfig.json", "JSON with Comments", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 26, 58, 8, 28, 23, 83, 974, 59, 8, 121, 1388